,formula
604,O2
605,Zr
606,Sb
607,Li
608,Ge
609,Se
610,Yb
611,V
612,Ge
613,Nd
614,Cr
615,Sr
616,Pd
617,Eu
618,Cl2
619,Bi
620,Bi
621,H2
622,Ce
623,Ge
624,Si
625,Sc
626,Nd
627,U
628,Os
629,Li
630,P
631,B
632,Pu
633,S
634,S
635,S
636,S
637,S
638,S
639,S
640,Kr
641,Pr
642,Na
643,Sr
644,Bi
645,Ar
646,Hg
647,Hg
648,C
649,Ga
650,C
651,C
652,Gd
653,B
654,Te
655,H2
656,Cs
657,Pu
658,I
659,Sc
660,K
661,Rb
662,Ba
663,O2
664,C
665,He
666,Sn
667,C
668,C
669,B
670,H2
671,Si
672,S
673,C
674,Sc
675,N2
676,Si
677,C
678,I
679,S
680,Sm
681,Ta
682,Ti
683,P
684,F2
685,Ge
686,Sb
687,Au
688,S
689,H2
690,Ag
691,Cr
692,Tc
693,Ru
694,Hf
695,Be
696,Dy
697,Cr
698,Y
699,Cd
700,Sn
701,Na
702,Mg
703,Lu
704,Rb
705,Nd
706,Re
707,Rb
708,Li
709,Xe
710,Cu
711,C
712,Al
713,Br
714,C
715,Cu
