formula
Cs
Hf
Si
Ga
La
Ce
Ge
Ga
Cs
Ca
Au
U
Sc
Ni
Ge
Hf
O2
Pr
Se
Cu
P
Si
K
Na
Li
Hg
Rb
C
Tm
Lu
O2
Ni
Hf
Sb
C
Cs
B
In
Mo
K
O2
Cu
Sn
Zr
Sr
Si
Mg
O2
N2
C
Mn
Pb
O2
Ba
O2
Cu
Cr
Pr
Ag
Ir
Ge
N2
Br
Sb
Li
Rb
Sc
Ca
Te
S
S
W
Dy
Ho
Tm
Tm
O2
Mo
H2
Ca
Ge
Bi
F2
Ca
K
Pu
Co
Si
Dy
Er
Er
Ho
Ta
Hg
Eu
Zr
Bi
Ca
Ge
Si
Na
U
K
Hg
S
O2
Ge
P
Nb
Mg
Ni
Ta
C
C
As
Ba
Bi
C
Cs
Fe
Hg
As
Mg
Ne
Y
Si
P
Cu
W
Pu
Tb
C
Np
N2
Zr
W
Te
Sr
Sb
S
Rb
Rb
Pr
P
O2
O2
O2
O2
K
I
K
H2
C
Bi
Ac
Ac
Al
Cs
Ca
Ca
Cd
Cd
Cs
Co
Dy
Er
Er
Cs
In
In
In
Hg
Hg
Hg
Hg
In
K
K
K
K
Na
Na
Na
Pm
Pb
Rb
Rb
Re
Rh
Y
Xe
Xe
Xe
Tl
Zn
Yb
H2
Se
C
C
Co
B
Fe
C
C
S
H2
C
Ge
B
P
Si
K
Si
Si
B
Si
Si
Si
C
C
Hg
N2
Ta
Ge
B
Nd
Al
Ag
C
Si
Al
Zn
Ti
Si
Al
Zn
Fe
Al
Ti
Ti
Zn
C
Si
Zn
Al
Ti
Mg
Se
Si
Fe
Co
Ge
Mo
Fe
P
Ca
Al
Fe
Sr
Ga
Ga
Tm
Ho
Lu
Se
Si
Fe
Tl
Mg
N2
Gd
La
P
As
B
B
Yb
Si
Si
Ca
Si
C
Tb
Te
Gd
Be
Ce
Pb
Ce
Pb
Ca
Sm
Eu
F2
B
Pb
Ni
I
Br
Ar
He
He
C
H2
N2
La
Si
Cs
Cu
Ru
Mn
Th
Pr
Tl
Zr
Ta
U
Ca
Ti
C
C
Ta
Co
Se
Se
Mn
Sn
S
S
S
S
S
Ba
O2
F2
F2
Sb
Sc
Te
Ce
Li
Bi
Sb
Ga
Bi
C
C
Fe
P
C
C
N2
Bi
Bi
C
Pr
Ga
C
Bi
C
Rb
Ta
Ba
Se
Xe
B
N2
Cl2
Tb
Pu
Si
K
C
K
S
Li
K
C
S
O2
Hg
C
Xe
O2
Kr
Pu
Gd
C
Pa
Eu
Pr
H2
H2
Sb
H2
C
Cs
Rb
Ba
I
Rb
Sr
Ce
Rb
Rb
C
Co
N2
Cs
Br
P
Sm
C
Ta
Ti
S
Rb
Np
Yb
Sn
Tb
Ho
Ti
Rh
Nb
Hg
He
H2
N2
Sr
S
Se
Sb
Zn
Re
Tl
Sn
In
Sm
Ac
V
Mn
Zr
Nb
Mo
W
Re
Os
Hg
Rb
Pm
Sr
Pu
Tc
Cr
W
Si
U
C
Cs
Sr
S
Pr
Si
Si
Tm
Xe
Tl
Yb
Tl
K
In
H2
Ho
Kr
Na
Na
Rb
Hg
Rb
Kr
Kr
Xe
Pr
Na
Hg
Ag
Cu
Er
C
Te
S
C
Br
K
Ge
Si
N2
Na
As
Ac
Ba
C
Cl2
C
Be
Ir
Br
Cs
Ni
Li
Co
Np
Sn
Te
Mn
Sc
Mg
Mg
Sc
U
Eu
Pr
Sr
Sb
S
Sc
Si
Te
O2
Ga
Ba
Pa
Dy
U
U
K
C
Si
Ge
N2
C
Si
O2
Na
Si
S
Si
Cd
H2
C
O2
Si
Br
Tc
Th
Gd
Tb
Sn
Te
Sb
Sb
Rb
P
H2
H2
C
Bi
C
Cs
Eu
Hg
Hg
Hg
K
K
Pa
Pd
Pm
Sr
Y
C
N2
Si
Ge
C
Si
Ge
Ba
Hg
Ti
C
Si
Si
Al
Pb
Pt
Rb
Na
Fe
Fe
Se
P
O2
Zr
Sb
Li
Ge
Se
Yb
V
Ge
Nd
Cr
Sr
Pd
Eu
Cl2
Bi
Bi
H2
Ce
Ge
Si
Sc
Nd
U
Os
Li
P
B
Pu
S
S
S
S
S
S
S
Kr
Pr
Na
Sr
Bi
Ar
Hg
Hg
C
Ga
C
C
Gd
B
Te
H2
Cs
Pu
I
Sc
K
Rb
Ba
O2
C
He
Sn
C
C
B
H2
Si
S
C
Sc
N2
Si
C
I
S
Sm
Ta
Ti
P
F2
Ge
Sb
Au
S
H2
Ag
Cr
Tc
Ru
Hf
Be
Dy
Cr
Y
Cd
Sn
Na
Mg
Lu
Rb
Nd
Re
Rb
Li
Xe
Cu
C
Al
Br
C
Cu
